frame,status,missing,centering_reliable,sheet_left_x,sheet_right_x,sheet_width_px,pattern_left_x,pattern_right_x,pattern_width_px,left_margin_px,right_margin_px,margin_delta_px,offset_px,left_margin_std,right_margin_std,sheet_left_slope_deg,sheet_right_slope_deg,pattern_left_slope_deg,pattern_right_slope_deg
frame_0000.png,OK,0,True,-106.6,340.2,446.8,28.8,225.1,196.3,135.4,115.2,20.2,10.09,1.45,7.34,0.72,0.58,0.79,0.72
frame_0001.png,OK,0,True,-106.3,340.1,446.4,28.9,225.0,196.2,135.2,115.1,20.1,10.06,1.27,8.37,0.99,0.38,0.65,0.16
frame_0002.png,OK,0,True,-108.1,340.3,448.4,28.8,226.8,197.9,136.9,113.5,23.3,11.66,1.49,7.60,0.63,0.26,0.69,0.96
frame_0003.png,OK,0,True,-106.7,339.9,446.5,27.4,228.5,201.1,134.1,111.4,22.6,11.32,0.59,7.37,0.93,-0.21,0.88,1.25
frame_0004.png,OK,0,True,-106.9,340.3,447.2,28.6,226.4,197.8,135.5,114.0,21.5,10.76,1.19,8.42,0.77,0.27,0.83,0.74
frame_0005.png,OK,0,True,-106.4,338.2,444.6,28.3,226.9,198.6,134.7,111.3,23.4,11.70,7.75,8.46,0.81,0.15,0.91,0.21
frame_0006.png,OK,0,True,-107.2,340.3,447.5,10.3,227.4,217.1,117.5,112.9,4.6,2.32,1.65,7.58,1.06,0.29,0.76,-0.09
frame_0007.png,OK,0,True,-108.1,340.2,448.3,27.2,228.5,201.3,135.2,111.7,23.5,11.77,53.16,8.40,1.71,0.96,0.25,0.30
frame_0008.png,OK,0,True,-106.0,338.8,444.8,28.4,226.9,198.5,134.4,111.9,22.5,11.24,56.96,7.48,1.15,-0.06,0.70,0.50
frame_0009.png,OK,0,True,-105.8,336.9,442.8,29.2,226.5,197.3,135.0,110.5,24.5,12.27,1.61,7.77,1.14,-0.02,0.91,0.38
frame_0010.png,OK,0,True,-104.5,336.1,440.6,29.7,223.7,194.0,134.2,112.4,21.8,10.88,1.31,7.58,1.01,0.25,0.86,-0.05
frame_0011.png,OK,0,True,-103.4,334.6,438.0,29.6,224.1,194.6,133.0,110.5,22.5,11.27,1.11,8.06,0.71,0.00,0.86,-2.62
frame_0012.png,OK,0,True,-106.7,340.9,447.7,28.7,226.4,197.8,135.4,114.5,20.9,10.46,1.15,8.35,0.80,0.44,0.81,-0.07
frame_0013.png,OK,0,True,-106.7,340.9,447.7,28.7,226.4,197.8,135.4,114.5,20.9,10.46,1.15,8.35,0.80,0.44,0.81,-0.07
frame_0014.png,OK,0,True,-105.8,338.7,444.5,29.2,224.8,195.6,135.0,113.9,21.1,10.55,1.13,8.25,0.66,0.08,0.92,0.98
frame_0015.png,OK,0,True,-105.6,337.8,443.4,29.6,224.7,195.1,135.2,113.2,22.0,11.01,1.30,8.47,0.89,0.22,0.79,1.07
frame_0016.png,OK,0,True,-106.4,339.8,446.2,29.3,225.5,196.2,135.6,114.4,21.3,10.63,1.21,7.68,0.84,0.14,0.78,1.26
frame_0017.png,OK,0,True,-105.5,339.7,445.2,29.7,224.9,195.2,135.2,114.8,20.5,10.23,1.30,7.64,0.77,0.21,0.91,2.16
frame_0018.png,OK,0,True,-105.4,338.7,444.1,29.7,225.7,196.0,135.1,113.0,22.1,11.03,1.53,8.13,0.99,0.29,0.77,0.04
frame_0019.png,OK,0,True,-105.4,340.2,445.6,29.7,226.1,196.5,135.1,114.0,21.1,10.53,1.49,8.30,0.93,0.24,0.77,0.55
frame_0020.png,OK,0,True,-105.6,339.9,445.5,29.5,225.6,196.2,135.1,114.3,20.8,10.39,1.52,7.63,0.90,0.27,0.67,0.04
frame_0021.png,OK,0,True,-106.5,340.7,447.3,29.7,226.2,196.5,136.2,114.5,21.8,10.88,1.79,7.71,0.98,0.21,0.74,0.90
frame_0022.png,OK,0,True,-106.3,340.1,446.4,29.1,226.5,197.4,135.4,113.6,21.8,10.89,1.24,7.43,0.57,0.48,0.68,-0.15
