frame,frame_w,frame_h,saved_x,saved_w,effective_x,effective_w,detected_x,detected_w,shift_x,width_delta_px,warning
frame_0000.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0001.png,640,480,218,265,218,265,110,450,-15.50,0.00,ROI width ratio 1.70x
frame_0002.png,640,480,218,265,218,265,110,449,-16.00,0.00,ROI width ratio 1.69x
frame_0003.png,640,480,218,265,218,265,112,444,-16.50,0.00,ROI width ratio 1.68x
frame_0004.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0005.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0006.png,640,480,218,265,218,265,111,447,-16.00,0.00,ROI width ratio 1.69x
frame_0007.png,640,480,218,265,218,265,111,449,-15.00,0.00,ROI width ratio 1.69x
frame_0008.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0009.png,640,480,218,265,218,265,109,453,-15.00,0.00,ROI width ratio 1.71x
frame_0010.png,640,480,218,265,218,265,109,452,-15.50,0.00,ROI width ratio 1.71x
frame_0011.png,640,480,218,265,218,265,110,450,-15.50,0.00,ROI width ratio 1.70x
frame_0012.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0013.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0014.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0015.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0016.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0017.png,640,480,218,265,218,265,112,446,-15.50,0.00,ROI width ratio 1.68x
frame_0018.png,640,480,218,265,218,265,109,455,-14.00,0.00,ROI width ratio 1.72x
frame_0019.png,640,480,218,265,218,265,109,452,-15.50,0.00,ROI width ratio 1.71x
frame_0020.png,640,480,218,265,218,265,111,446,-16.50,0.00,ROI width ratio 1.68x
frame_0021.png,640,480,218,265,218,265,109,451,-16.00,0.00,ROI width ratio 1.70x
frame_0022.png,640,480,218,265,218,265,110,450,-15.50,0.00,ROI width ratio 1.70x
frame_0023.png,640,480,218,265,218,265,110,450,-15.50,0.00,ROI width ratio 1.70x
frame_0024.png,640,480,218,265,218,265,109,452,-15.50,0.00,ROI width ratio 1.71x
frame_0025.png,640,480,218,265,218,265,110,449,-16.00,0.00,ROI width ratio 1.69x
frame_0026.png,640,480,218,265,218,265,109,454,-14.50,0.00,ROI width ratio 1.71x
frame_0027.png,640,480,218,265,218,265,110,449,-16.00,0.00,ROI width ratio 1.69x
frame_0028.png,640,480,218,265,218,265,110,449,-16.00,0.00,ROI width ratio 1.69x
frame_0029.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0030.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0031.png,640,480,218,265,218,265,111,447,-16.00,0.00,ROI width ratio 1.69x
frame_0032.png,640,480,218,265,218,265,108,455,-15.00,0.00,ROI width ratio 1.72x
frame_0033.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0034.png,640,480,218,265,218,265,112,448,-14.50,0.00,ROI width ratio 1.69x
frame_0035.png,640,480,218,265,218,265,111,449,-15.00,0.00,ROI width ratio 1.69x
frame_0036.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0037.png,640,480,218,265,218,265,109,454,-14.50,0.00,ROI width ratio 1.71x
frame_0038.png,640,480,218,265,218,265,112,446,-15.50,0.00,ROI width ratio 1.68x
frame_0039.png,640,480,218,265,218,265,109,455,-14.00,0.00,ROI width ratio 1.72x
frame_0040.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0041.png,640,480,218,265,218,265,109,453,-15.00,0.00,ROI width ratio 1.71x
frame_0042.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0043.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0044.png,640,480,218,265,218,265,109,454,-14.50,0.00,ROI width ratio 1.71x
frame_0045.png,640,480,218,265,218,265,109,453,-15.00,0.00,ROI width ratio 1.71x
frame_0046.png,640,480,218,265,218,265,109,454,-14.50,0.00,ROI width ratio 1.71x
frame_0047.png,640,480,218,265,218,265,109,454,-14.50,0.00,ROI width ratio 1.71x
frame_0048.png,640,480,218,265,218,265,108,455,-15.00,0.00,ROI width ratio 1.72x
frame_0049.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0050.png,640,480,218,265,218,265,110,453,-14.00,0.00,ROI width ratio 1.71x
frame_0051.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0052.png,640,480,218,265,218,265,110,454,-13.50,0.00,ROI width ratio 1.71x
frame_0053.png,640,480,218,265,218,265,113,446,-14.50,0.00,ROI width ratio 1.68x
frame_0054.png,640,480,218,265,218,265,112,448,-14.50,0.00,ROI width ratio 1.69x
frame_0055.png,640,480,218,265,218,265,114,444,-14.50,0.00,ROI width ratio 1.68x
frame_0056.png,640,480,218,265,218,265,113,444,-15.50,0.00,ROI width ratio 1.68x
frame_0057.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0058.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0059.png,640,480,218,265,218,265,111,451,-14.00,0.00,ROI width ratio 1.70x
frame_0060.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0061.png,640,480,218,265,218,265,112,446,-15.50,0.00,ROI width ratio 1.68x
frame_0062.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0063.png,640,480,218,265,218,265,110,452,-14.50,0.00,ROI width ratio 1.71x
frame_0064.png,640,480,218,265,218,265,108,455,-15.00,0.00,ROI width ratio 1.72x
frame_0065.png,640,480,218,265,218,265,110,453,-14.00,0.00,ROI width ratio 1.71x
frame_0066.png,640,480,218,265,218,265,111,448,-15.50,0.00,ROI width ratio 1.69x
frame_0067.png,640,480,218,265,218,265,110,451,-15.00,0.00,ROI width ratio 1.70x
frame_0068.png,640,480,218,265,218,265,111,449,-15.00,0.00,ROI width ratio 1.69x
frame_0069.png,640,480,218,265,218,265,110,453,-14.00,0.00,ROI width ratio 1.71x
frame_0070.png,640,480,218,265,218,265,114,445,-14.00,0.00,ROI width ratio 1.68x
frame_0071.png,640,480,218,265,218,265,111,452,-13.50,0.00,ROI width ratio 1.71x
frame_0072.png,640,480,218,265,218,265,110,454,-13.50,0.00,ROI width ratio 1.71x
frame_0073.png,640,480,218,265,218,265,110,454,-13.50,0.00,ROI width ratio 1.71x
frame_0074.png,640,480,218,265,218,265,111,452,-13.50,0.00,ROI width ratio 1.71x
frame_0075.png,640,480,218,265,218,265,113,446,-14.50,0.00,ROI width ratio 1.68x
frame_0076.png,640,480,218,265,218,265,113,447,-14.00,0.00,ROI width ratio 1.69x
frame_0077.png,640,480,218,265,218,265,113,447,-14.00,0.00,ROI width ratio 1.69x
frame_0078.png,640,480,218,265,218,265,113,447,-14.00,0.00,ROI width ratio 1.69x
frame_0079.png,640,480,218,265,218,265,113,447,-14.00,0.00,ROI width ratio 1.69x
frame_0080.png,640,480,218,265,218,265,112,449,-14.00,0.00,ROI width ratio 1.69x
frame_0081.png,640,480,218,265,218,265,112,448,-14.50,0.00,ROI width ratio 1.69x
frame_0082.png,640,480,218,265,218,265,111,450,-14.50,0.00,ROI width ratio 1.70x
frame_0083.png,640,480,218,265,218,265,108,454,-15.50,0.00,ROI width ratio 1.71x
