frame,status,missing,extra,detection_ratio,alignment_ok,pattern_alignment_warn,machine_stop,frame_quality,capture_quality_degraded,angle_deg,shift_x,roi_warning,centering_reliable,offset_px,left_margin_std,right_margin_std,pattern_left_slope_deg,pattern_right_slope_deg,left_edge_slope_deg,right_edge_slope_deg
frame_0000.png,OK,0,0,1.1285,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,11.289,1.443,1.258,0.803,0.154,1.071,0.232
frame_0001.png,OK,0,0,1.1285,True,False,False,GOOD,False,0.000,-15.500,ROI width ratio 1.69x,True,11.381,1.371,1.290,0.805,0.172,0.999,-0.062
frame_0002.png,OK,0,0,1.1285,True,False,False,GOOD,False,0.000,-15.500,ROI width ratio 1.69x,True,11.381,1.371,1.290,0.805,0.172,0.999,-0.062
frame_0003.png,OK,0,0,1.1453,True,False,False,GOOD,False,0.000,-15.500,ROI width ratio 1.69x,True,11.779,1.607,1.290,0.795,0.358,1.041,-0.000
frame_0004.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-15.500,ROI width ratio 1.69x,True,11.366,1.294,1.240,0.736,0.293,0.999,-0.084
frame_0005.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,10.913,1.152,1.022,0.737,0.299,1.209,-0.000
frame_0006.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,10.913,1.152,1.022,0.737,0.299,1.209,-0.000
frame_0007.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,11.355,0.965,1.024,0.840,0.044,1.042,-0.098
frame_0008.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,11.259,1.652,1.409,0.765,0.268,1.052,0.232
frame_0009.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,12.281,1.599,1.257,0.858,0.224,0.901,0.140
frame_0010.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.69x,True,12.281,1.599,1.257,0.858,0.224,0.901,0.140
frame_0011.png,OK,0,0,1.1397,True,False,False,GOOD,False,0.000,-16.000,ROI width ratio 1.70x,True,11.901,1.550,1.428,0.810,0.091,1.091,-0.236
frame_0012.png,OK,0,0,1.1508,True,False,False,GOOD,False,0.000,-18.000,ROI width ratio 1.68x,True,12.507,1.122,0.923,0.800,-0.077,1.206,-0.160
frame_0013.png,OK,0,0,1.1676,True,False,False,GOOD,False,0.000,-17.000,ROI width ratio 1.67x,True,11.447,1.349,1.236,0.691,0.136,1.151,0.061
frame_0014.png,OK,0,0,1.1676,True,False,False,GOOD,False,0.000,-17.000,ROI width ratio 1.66x,True,11.327,1.483,1.127,0.713,0.293,1.008,-0.316
frame_0015.png,OK,0,0,1.1676,True,False,False,GOOD,False,0.000,-17.000,ROI width ratio 1.66x,True,11.327,1.483,1.127,0.713,0.293,1.008,-0.316
frame_0016.png,OK,0,0,1.1676,True,False,False,GOOD,False,0.000,-17.000,ROI width ratio 1.66x,True,10.445,1.328,1.117,0.762,0.266,0.949,-0.084
frame_0017.png,OK,0,0,1.1508,True,False,False,GOOD,False,0.000,-17.000,ROI width ratio 1.69x,True,10.678,1.136,1.387,0.772,0.139,1.037,-0.302
frame_0018.png,OK,0,0,1.1564,True,False,False,LOW_QUALITY,False,0.000,-18.000,ROI width ratio 1.69x,True,10.903,1.511,1.029,0.760,-0.003,1.030,-0.094
frame_0019.png,OK,0,0,1.1564,True,False,False,LOW_QUALITY,False,0.000,-18.000,ROI width ratio 1.69x,True,10.903,1.511,1.029,0.760,-0.003,1.030,-0.094
frame_0020.png,OK,0,0,1.1508,True,False,False,LOW_QUALITY,False,0.000,-17.500,ROI width ratio 1.69x,True,11.703,1.559,8.074,0.683,1.167,0.783,0.301
frame_0021.png,OK,0,0,1.1453,True,False,False,GOOD,False,0.000,-17.500,ROI width ratio 1.71x,True,12.250,1.510,7.697,0.692,0.738,0.887,0.656
frame_0022.png,OK,0,0,1.1341,True,False,False,GOOD,False,0.000,-16.500,ROI width ratio 1.69x,True,10.881,1.420,1.343,0.804,0.115,0.911,0.143
